"","taxonname","first_letter","mean_silt","sd_silt","n_silt","mean_c_silt","sd_c_silt","mean_f_silt","sd_f_silt","mean_ratio_ctof","sd_ratio_ctof","n_silt_psa","n_pedons"
"88","CHAIX","C",19.0428571,4.8283958856055,14,8.14166673333333,1.79111865197551,11.1999999666667,3.79305582107861,0.82134834324443,0.369703560112331,12,9
"89","JABU","C",15.55,5.64923792894031,10,6.65000002,1.63112086819668,8.89999995,4.81733005904494,0.834874195800227,0.237469572456623,10,4
"90","COHASSET","C",33.3222221666667,2.3107241948626,9,9.29999981111111,1.19478021305178,24.0222223111111,2.56211690014336,0.392935877248122,0.0767327454731898,9,6
"91","WITEFELS","C",8.86666674444444,2.85306847811849,9,4.18888886666667,1.09138033382298,4.67777772222222,2.43299073912473,1.07091413842341,0.469608284371854,9,6
"92","TOEM","C",7.187499875,2.77356778265829,8,4.17500005,1.42603348888747,3.012499975,1.41263431346242,1.46992885467093,0.333439014501375,8,5
"93","TEMO","C",10.3833333666667,2.42026171064207,6,5.30000003333333,1.78549714197476,5.08333345,1.20069428221065,1.07512492685339,0.385742964486866,6,4
"94","ARGONAUT","C",28.8666667833333,9.35578282582493,6,11.02499985,3.24178451216817,20.99999975,7.21757119904844,0.536420212014121,0.0643256044111065,4,8
"95","MEEKS","C",14.600000375,12.5690102575077,4,9.000000125,7.77303048538128,5.600000025,4.80901941633289,1.60771856959827,0.233380397784801,4,4
"96","MUSICK","C",17.5499998,6.94090108687468,10,8.250000125,2.0469489498601,11.324999925,4.53238343828793,0.820167711448051,0.343768076706053,4,8
"97","WINDY","C",25.12000008,6.540794827542,5,6.549999875,2.5475477666441,17.4499998,5.1182676991342,0.374856711823062,0.124010815300684,4,4
"98","AHWAHNEE","C",11.9999999,4.46878035206477,5,5.5666666,1.45716606351736,8.9333334,3.01053716247893,0.659310494858512,0.256253331260895,3,9
"99","HOLLAND","C",18.9384617153846,6.55445636478119,13,3.9333333,1.25033318626144,11.4333332333333,3.13900175108798,0.367971828797166,0.155383565552761,3,12
"100","TRABUCO","C",24.5999997333333,7.01826201619751,6,8.96666653333333,0.737111782567674,18.2999998666667,6.00999169383786,0.521757907773407,0.154822278823712,3,6
"101","AUBERRY","C",17.2833334666667,11.5567154801008,6,4.2499999,5.58614342995237,8.0999999,1.27279234755714,0.476388878356482,0.614790045999743,2,6
"102","PARDEE","C",9.9666666,6.65306946353837,3,4.0000001,1.83847777250638,9.3499999,2.61629494896887,0.416607156010842,0.0800546077579025,2,4
"103","SIERRA","C",26.8,5.84764940467538,5,16.6500001,1.20208138659577,14.3499999,1.62634573815042,1.16300099416082,0.0480390472840605,2,5
"104","SITES","C",34.33999958,12.0489831030258,5,19.9000006,12.4450796317259,22.3999996,8.62670329616131,1.07510501503045,0.969629106984835,2,6
"105","CHAWANAKEE","C",7.4000001,4.72722625930542,4,4.6999998,NA,8.8999996,NA,0.528089888902916,NA,1,4
"106","LOAFERCREEK","C",21.3999996,NA,1,6,NA,15.3999996,NA,0.38961039973014,NA,1,4
"107","SHAVER","C",9.76000008,4.50422020975885,5,0,NA,6.3000002,NA,0,NA,1,4
"108","AUBURN","C",NA,NA,0,NA,NA,NA,NA,NA,NA,0,4
"109","SITES","O",45.4500008,21.5667568261897,2,16.35000015,14.4956893678776,29.09999945,7.07106646836259,0.516585360957322,0.372607565254277,2,11
"110","CHALLENGE","O",NA,NA,0,NA,NA,NA,NA,NA,NA,0,6
"111","HOLLAND","O",NA,NA,0,NA,NA,NA,NA,NA,NA,0,9
"112","MUSICK","O",NA,NA,0,NA,NA,NA,NA,NA,NA,0,6
"113","AUBURN","R",33.49999905,16.4048765457104,2,22.19999955,21.354624296859,11.3000002,4.94974746830583,2.63089038668031,3.04220059462654,2,7
"114","SUPAN","R",27.5,NA,1,9.6000004,NA,17.8999996,NA,0.536312883493025,NA,1,4
"115","WHITEROCK","R",35.4000015,NA,1,9.8000002,NA,25.6000004,NA,0.382812501831055,NA,1,7
"116","COPPEROPOLIS","R",NA,NA,0,NA,NA,NA,NA,NA,NA,0,5
"117","TOOMES","R",NA,NA,0,NA,NA,NA,NA,NA,NA,0,10
